0007		ACADÉMIE GAÏA
0009		Sergi Castillo Lapeira
0010		© Sergi Castillo Lapeira, 2026
0011		Première édition : 2026
0012		Tous droits réservés.
0013		Aucune partie de cette publication ne peut être reproduite, stockée dans un système de récupération de données ni transmise, sous quelque forme et par quelque moyen que ce soit — électronique, mécanique, par photocopie, par enregistrement ou autre —, sans l’autorisation écrite et préalable de l’auteur, sauf dans le cas de brèves citations intégrées à des critiques ou à des travaux universitaires.
0014		Ceci est une œuvre de fiction. Les noms, les personnages, les lieux et les événements sont le fruit de l’imagination de l’auteur ou sont utilisés de manière fictive. Toute ressemblance avec des personnes réelles, vivantes ou mortes, serait purement fortuite.
0015		sergicastillo.com
0016		Pour Xavier et Hel·lena
0017		« Peut-être la réalité n’est-elle pas un lieu, mais la façon dont toutes les consciences se rencontrent. »
0018		— Académie Gaïa
0019		TABLE DES MATIÈRES
0436	Normal	— Eh bien, merci de me le dire. Je chercherai son aide ! répondit Anastasia. Aussitôt un silence s’installa, moment que Sonia mit à profit pour parler des contenus et des objectifs du cours. Quand elle eut terminé, une autre voix se fit entendre depuis le fond de la salle.
0437	Normal	— Moi, j’ai une question ! affirma un garçon grand et maigre, la voix nasillarde et les épaules rentrées.
0438	Normal	— Vas-y, répondit Sonia. Comment t’appelles-tu ?
0439	Normal	— Je m’appelle Vicenç, et voici ma question. Moi, j’ai toujours imaginé les anges comme des êtres pourvus d’ailes. Certains jouent de la harpe et ont des mines de braves garçons. Et surtout, il semble qu’ils n’aient pas de sexe. Est-ce ainsi que nous devons les voir ?
0440	Normal	— Eh bien, c’est là une image classique qui nous est parvenue à travers la culture religieuse et, surtout, à travers l’œuvre de nombreux artistes, comme Fra Angelico, le grand peintre du XVe siècle. Mais je veux que vous compreniez qu’il s’agit de représentations d’une réalité qui se situe au-delà de l’époque où elles ont été réalisées, et ces interprétations, logiquement, changent avec le temps.
0441	Normal	— Et comment les voyons-nous à l’heure actuelle ? demanda Jenifer.
0442	Normal	— De nos jours, il existe un groupe de chercheurs, parmi lesquels je me compte, qui essayons d’élaborer une compréhension synthétique de cette réalité angélique, une compréhension qui intègre science et religion.
0443	Normal	— Et cela… c’est possible ?
0444	Normal	— Nous, nous pensons que oui.
0445	Normal	— Pourrais-tu l’expliquer, ne serait-ce que brièvement ? demanda Anastasia.
0446	Normal	— Je vais essayer. Savez-vous de quoi se compose l’univers ?
0447	Normal	— Oui, de matière et d’énergie, répondit Quim.
0448	Normal	— Rien que de la matière et de l’énergie ? Tu n’oublies pas un autre composant ?
0449	Normal	Toute la classe se mit à débattre autour de la question. Finalement, Vicenç leva le bras.
0450	Normal	— Dis-moi, Vicenç.
0451	Normal	— L’élément qui manque, c’est l’information.
0452	Normal	— Très bien. Tu as deviné. Comment l’as-tu su ?
0453	Normal	— Très facile, je l’ai demandé à ChatGPT.
0454	Normal	— Et saurais-tu expliquer ce que cette IA t’a expliqué ?
0455	Normal	— Non. En fait, je n’ai rien compris à ce que j’ai lu.
0456	Normal	— Alors c’est bien dommage, parce que tu as mis le doigt sur la clef de voûte de notre sujet. Selon les modèles scientifiques actuels, l’information est la base la plus fondamentale de l’univers, en deçà de la matière et de l’énergie. Et les qubits sont l’unité minimale de cette information, c’est-à-dire les véritables atomes indivisibles qui composent tout l’univers. Vous comprenez ?
0457	Normal	Personne n’osa répondre, mais le visage des étudiants trahissait clairement que, s’ils l’avaient fait, ils auraient dit non.
0458	Normal	— Ce que je viens de vous expliquer n’est pas une invention de ma part. C’est confirmé par la physique des trous noirs, que je ne vous expliquerai pas maintenant parce qu’il n’y a pas assez de temps et parce que je ne suis pas physicienne. En tout cas, nous croyons que cette information fondamentale n’est pas aléatoire, mais qu’elle est organisée selon des motifs intelligents et dotés d’un dessein.
0459	Normal	— Sonia, je n’arrive pas bien à comprendre, dit Jenifer.
0460	Normal	— Voyons… Pensez à l’univers non pas seulement comme un espace rempli d’étoiles et de matière, mais comme un esprit vivant. Un réseau infini de conscience. Au sein de ce grand esprit existent des motifs, des fonctions fondamentales qui soutiennent tout. Il y a un motif pour la guérison. Un autre pour le courage. Un pour la communication claire. Ces motifs ne sont pas des idées abstraites. Ce sont des champs d’énergie intelligente, actifs et résonnants. Les cultures anciennes, dans leur sagesse, ont donné un nom à ces motifs et les ont appelés anges. Nous, nous pouvons les appeler « archétypes » ou « champs morphiques ».
0461	Normal	— Ce n’est pas là une vision trop scientifique des anges ? Ça n’a rien à voir avec ce qu’on m’a enseigné quand je suivais le cours de culture religieuse à l’école, dit Quim.
0462	Normal	— C’est une interprétation propre à notre époque. Si Thomas d’Aquin avait vécu au XXIe siècle, il l’aurait très certainement défendue lui aussi, répondit Sonia.
0463	Normal	— Moi, peu m’importe comment nous les nommons, anges ou archétypes. Ce que je veux savoir, en revanche, c’est comment nous pouvons entrer en contact avec eux, ajouta Anastasia.
0464	Normal	— Grâce à des pratiques concrètes, comme la méditation, nous pouvons faire en sorte que notre conscience entre en contact, c’est-à-dire résonne, avec ces motifs universels. De cette manière, ils peuvent nous aider à faire ressortir de nous-mêmes ce que nous possédons déjà, que ce soit le courage, la bonté, la santé ou la connaissance.
0465	Normal	— Je crois que maintenant c’est plus clair pour moi, dit Jenifer. Alors, nous ferons des exercices de méditation ?
0466	Normal	— Oui, le site web du cours l’indiquait déjà, Jeni.
0467	Normal	— Génial ! Mais moi, je m’endors toujours quand je médite !
0468	Normal	Toute la classe se mit à rire, tandis que Sonia constatait qu’une fois de plus, elle avait atteint le principal objectif de la journée : passionner ses élèves pour une question aussi difficile que « contacter les anges ».
0469	Normal	— Très bien, les garçons et les filles. Pour terminer le cours d’aujourd’hui, nous ferons un petit exercice de méditation. Nous n’y consacrerons que dix à quinze minutes, mais nous allongerons progressivement le temps à mesure que vous maîtriserez la technique. S’il vous plaît, retirez vos chaussures et asseyez-vous sur le parquet. Vous pouvez prendre les tapis qui sont dans le coin. Adoptez une posture confortable, fermez les yeux et suivez mes instructions.
0470	Normal	— Y a-t-il un autre moyen d’établir le contact ? demanda Anastasia. Je ne sais pas si je serai douée pour la méditation.
0471	Normal	— Oui, en effet, il y a d’autres moyens. Par exemple, il existe la technique du sigil, celle de l’écriture automatique, la danse, et d’autres encore. Mais cela, nous l’étudierons plus tard.
0472	Normal	Après un petit remue-ménage, tout le monde était assis par terre dans la posture de la fleur de lotus. Sonia commença à donner des instructions très simples relatives à la prise de conscience de soi, en commençant par la respiration. Malgré les rires du début, au bout de quelques minutes la classe ressemblait à un monastère bouddhiste au pied de l’Himalaya. Anastasia, qui avait abordé l’exercice avec le plus grand sérieux et la plus grande rigueur, commença à éprouver un état de relaxation très agréable, comme si une brèche venait de s’ouvrir, faisant que son âme, chargée d’inquiétude et de tension, se dégonflait peu à peu comme une meringue sous la pluie. Soudain, elle entendit un murmure étrange qui résonnait en son for intérieur. Au début, elle eut du mal à l’identifier, mais au bout d’un moment il lui sembla entendre la voix de son frère Ilya, qui lui disait : « Всё хорошо́ » (« Tout va bien »). L’impression que cela lui produisit fut si forte que son état méditatif s’effondra, au point que Sonia s’en aperçut.
0473	Normal	— Anastasia, tu vas bien ? Il s’est passé quelque chose ?
0474	Normal	— Oui… je vais bien.
0475	Normal	— Tu en es sûre ? Veux-tu qu’on en parle à la fin du cours ?
0476	Normal	— Oui, oui, il ne s’est rien passé. Ne t’inquiète pas.
0477	Normal	— Comme tu voudras, tu sais que je suis à votre disposition.
0478	Normal	L’exercice s’acheva sans autre incident. En sortant, Anastasia remarqua que Sonia continuait de la regarder d’un air soucieux. Elle se demanda si, d’une manière ou d’une autre, elle avait deviné ce qui venait de lui arriver. Mais elle tomba tout à coup sur Ava, alors qu’elle se trouvait déjà dans le couloir, et tout ce qui venait de se produire passa au second plan lorsqu’elle vit l’expression joyeuse et rieuse de sa bien-aimée.
0479	Heading 2	CHAPITRE 6. Anthropotélie
0480	Normal	Le lendemain, les trois jeunes gens avaient décidé de se retrouver à la bibliothèque après le déjeuner. À la surprise d’Ava et d’Anastasia, quand Jofre arriva, il n’était pas seul.
0481	Normal	— Bonjour, les filles, je vous présente Yuki et Malik. Je suppose que vous les connaissez déjà.
0482	Normal	— Bien sûr ! dirent-elles toutes deux. Votre exercice au cours de séduction était sensationnel ! Qu’est-ce que vous faites ici ?
0483	Normal	— Bonjour ! Eh bien, c’est une idée de Jofre. Il nous a demandé de venir parce qu’il pense que Yuki et moi avons des qualités spéciales. Il nous a aussi parlé d’un certain Hari Seldon et d’un groupe que vous voulez former pour étudier des sujets intéressants et mystérieux. Et il a tellement insisté qu’il a fini par nous convaincre.
0484	Normal	— Oui, il a été très persuasif. Mais enfin, avec moi il a eu la tâche facile, parce que j’adore les histoires mystérieuses et secrètes ! dit Yuki.
0485	Normal	— Et qu’est-ce qui t’attire chez eux, Jofre ? demanda Anastasia.
0486	Normal	— Eh bien… j’ai été très surpris par leur prestation pendant l’exercice devant la professeure Marguerite, et moi, je ne suis pas facile à impressionner, ce qui m’a fait penser que ces deux-là devaient faire partie du groupe « les Amis de Hari Seldon ».
0487	Normal	— Et vous êtes au courant de ce que nous comptons faire au sein du groupe ? demanda Anastasia.
0488	Normal	— Oui, plus ou moins. Vous voulez enquêter sur des sujets étranges ou qui vous paraissent attrayants, en profitant des ressources de cette bibliothèque si particulière. Nous savons aussi que ton frère Ilya a disparu, qu’il est venu ici consulter un livre et qu’il y a laissé des notes mystérieuses que vous voulez déchiffrer, dit Malik. C’est bien ça ?
0489	Normal	— Tout à fait. Et à cinq, on y verra sûrement plus clair qu’à trois. Voulez-vous nous aider ?
0490	Normal	— Bien entendu ! dit Yuki. Pouvons-nous les voir ?
0491	Normal	Tous les cinq se mirent à analyser les notes. Après les avoir examinées un bon moment, les lisant dans un sens et dans l’autre, Ava eut une idée.
0492	Normal	— Je crois que ces notes ne peuvent pas s’interpréter de manière isolée. Il faut les emboîter les unes dans les autres, comme si c’étaient les pièces d’un puzzle. Voyez-vous un ordre déterminé qui nous permettrait de le faire ?
0493	Normal	— Que diriez-vous de les lire à voix haute ? proposa Anastasia. Peut-être que leur sonorité nous révélera un message caché.
0494	Normal	— Oui, on ne perd rien à essayer, dit Jofre. Je lirai la première :
0495	Normal	Le miroir ne se contente plus de refléter. Il respire. Il résonne avec le fleuve invisible qui nous entoure. Gaïa m’a montré la rive. Maintenant j’entends l’écho.
0496	Normal	— Alors, c’est clair pour vous, non ? demanda Jofre.
0497	Normal	— Limpide ! dit Malik, tout en observant la réaction de stupéfaction de ses camarades. Je crois qu’il n’est pas nécessaire que tu continues avec la suivante tant que nous n’aurons pas déchiffré celle-ci. C’est un vrai charabia !
0498	Normal	— Que diriez-vous de continuer à la cafétéria, en prenant quelques bières ? proposa Jofre. Je crois que nous avons besoin de décrocher un moment.
0499	Normal	Tous furent d’accord, mentalement soulagés par la magnifique idée de leur camarade. En sortant de la bibliothèque, Ava remarqua que Biblium s’approchait.
0500	Normal	— Bonjour, chers élèves ! Pour ceux qui ne me connaissent pas, je m’appelle Biblium. Je voulais simplement me présenter et savoir s’il vous fallait quelque chose. Je suis ici pour vous aider !
0501	Normal	— Non, Biblium, nous partions justement. Merci ! dit Jofre.
0502	Normal	Biblium resta un moment à observer les jeunes gens qui lui tournaient le dos et refermaient la porte d’entrée, sans pouvoir empêcher une réaction interne qu’il ne sut identifier. Il commanda une révision de ses processus cognitifs afin de repérer l’anomalie, mais le résultat n’indiqua aucune erreur de fonctionnement. Étonné, il décida de consulter l’immense base de données dont il disposait afin d’en avoir le cœur net, mais il n’eut pas davantage de succès pour identifier ce qui s’était produit. Enfin, comme dernier recours, il chercha des informations relatives aux expériences qui avaient été menées dans la décennie 2030 afin d’obtenir un hybride entre l’intelligence humaine et l’intelligence synthétique. Et il finit par trouver la réponse qu’il cherchait : ce qui s’était produit à l’intérieur de son cerveau positronique était ce que les humains appelaient « jalousie ».
0503	Normal	Biblium connaissait à la perfection le sens de ce mot et était capable de le traduire en des milliers de langues différentes. Cependant, il n’avait jamais « éprouvé » son corrélat phénoménologique. De fait, il n’était pas non plus certain que ce qu’il avait ressenti fût réellement une émotion équivalente à celles des humains, ni que cela se reproduirait à l’avenir.
